"Compound","Radius","Wind Direction","Adj R-sq","Significant_Variables"
"ch4",5,"SE",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",5,"SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",5,"NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",5,"SE,SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",5,"SE,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",5,"SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",5,"SE,SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,"SE",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,"SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,"NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,"SE,SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,"SE,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,"SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,"SE,SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",20,"SE",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",20,"SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",20,"NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",20,"SE,SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",20,"SE,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",20,"SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",20,"SE,SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,"SE",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,"SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,"NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,"SE,SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,"SE,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,"SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,"SE,SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",50,"SE",0.42,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SW",0.42,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SE,SW",0.42,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SE,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SE,SW,NW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",5,"SE",0.4,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_5"
"benzene",5,"SW",0.39,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_5"
"benzene",5,"NW",0.38,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"benzene",5,"SE,SW",0.4,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
