"Compound","Radius","Adj R-sq","Significant_Variables"
"ch4",5,0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",10,0.404,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",20,0.399,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",30,0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"ch4",50,0.411,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",5,0.387,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"benzene",10,0.39,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_10"
"benzene",20,0.381,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_20"
"benzene",30,0.384,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"benzene",50,0.388,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"co",5,0.302,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightNW, wind_bin.nightW, n_flare_5"
"co",10,0.296,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightNW, wind_bin.nightW, n_flare_10"
"co",20,0.291,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightNW, wind_bin.nightW"
"co",30,0.292,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightNW, wind_bin.nightW"
"co",50,0.291,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightNW, wind_bin.nightW"
"co2",5,0.29,"(Intercept), wsp_ms.night"
"co2",10,0.294,"(Intercept), wsp_ms.night"
"co2",20,0.292,"(Intercept), wsp_ms.night"
"co2",30,0.292,"(Intercept), wsp_ms.night"
"co2",50,0.297,"(Intercept), wsp_ms.night, n_flare_50"
"nox",5,0.325,"wsp_ms.night, wind_bin.nightS, n_flare_5"
"nox",10,0.332,"(Intercept), wsp_ms.night, wind_bin.nightS, n_flare_10"
"nox",20,0.32,"(Intercept), wsp_ms.night, wind_bin.nightS, n_flare_20"
"nox",30,0.317,"(Intercept), wsp_ms.night, wind_bin.nightS"
"nox",50,0.328,"(Intercept), wsp_ms.night, wind_bin.nightS, n_flare_50"
"h2s",5,0.213,"(Intercept), wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW, n_flare_5"
"h2s",10,0.221,"(Intercept), wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW, n_flare_10"
"h2s",20,0.207,"(Intercept), wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW"
"h2s",30,0.21,"(Intercept), wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW"
"h2s",50,0.214,"(Intercept), wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW, n_flare_50"
"so2",5,0.038,"(Intercept)"
"so2",10,0.041,"(Intercept)"
"so2",20,0.034,"(Intercept)"
"so2",30,0.033,"(Intercept)"
"so2",50,0.032,"(Intercept)"
"ethane",5,0.426,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",10,0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",20,0.426,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",30,0.427,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",50,0.435,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethene",5,0.366,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightSE, n_flare_5"
"ethene",10,0.355,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightSE, n_flare_10"
"ethene",20,0.35,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightSE"
"ethene",30,0.35,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightSE"
"ethene",50,0.353,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightSE"
"total_radioactivity",5,0.503,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_bin.nightNW, wind_bin.nightW"
"total_radioactivity",10,0.507,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_bin.nightNW, wind_bin.nightW"
"total_radioactivity",20,0.503,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_bin.nightNW, wind_bin.nightW"
"total_radioactivity",30,0.504,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_bin.nightNW, wind_bin.nightW"
"total_radioactivity",50,0.507,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_bin.nightNW, wind_bin.nightW"
"Factor1",5,0.351,"wsp_ms.night, weighted_monthly_gas, n_flare_5"
"Factor1",10,0.344,"wsp_ms.night, weighted_monthly_gas"
"Factor1",20,0.34,"wsp_ms.night, weighted_monthly_gas"
"Factor1",30,0.339,"wsp_ms.night, weighted_monthly_gas"
"Factor1",50,0.341,"wsp_ms.night, weighted_monthly_gas"
"Factor2",5,0.038,"(Intercept), wsp_ms.night"
"Factor2",10,0.03,"(Intercept), wsp_ms.night"
"Factor2",20,0.03,"(Intercept), wsp_ms.night"
"Factor2",30,0.03,"(Intercept), wsp_ms.night"
"Factor2",50,0.041,"(Intercept), wsp_ms.night"
"Factor3",5,0.42,"wsp_ms.night, weighted_monthly_oil"
"Factor3",10,0.417,"wsp_ms.night, weighted_monthly_oil"
"Factor3",20,0.415,"wsp_ms.night, weighted_monthly_oil"
"Factor3",30,0.414,"wsp_ms.night, weighted_monthly_oil"
"Factor3",50,0.417,"wsp_ms.night, weighted_monthly_oil"
"Factor4",5,0.238,"wsp_ms.night, weighted_monthly_oil, wind_bin.nightSE, n_flare_5"
"Factor4",10,0.225,"wsp_ms.night, weighted_monthly_oil, wind_bin.nightSE"
"Factor4",20,0.222,"wsp_ms.night, weighted_monthly_oil, wind_bin.nightSE"
"Factor4",30,0.222,"wsp_ms.night, weighted_monthly_oil, wind_bin.nightSE"
"Factor4",50,0.222,"wsp_ms.night, weighted_monthly_oil, wind_bin.nightSE"
"Factor5",5,0.065,"wsp_ms.night, wind_bin.nightW"
"Factor5",10,0.087,"wsp_ms.night, wind_bin.nightSE, wind_bin.nightW, n_flare_10"
"Factor5",20,0.06,"wsp_ms.night, wind_bin.nightW"
"Factor5",30,0.057,"wsp_ms.night, wind_bin.nightW"
"Factor5",50,0.057,"wsp_ms.night, wind_bin.nightW"
