"Compound","Radius","Wind Direction","Adj R-sq","Significant_Variables"
"ch4",10,"SE",0.406,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",10,"SW",0.404,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",10,"NW",0.403,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",10,"SE,SW",0.404,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",10,"SE,NW",0.404,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",10,"SW,NW",0.403,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",10,"SE,SW,NW",0.403,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",50,"SE",0.411,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SW",0.41,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"NW",0.409,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SE,SW",0.41,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SE,NW",0.41,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SW,NW",0.409,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ch4",50,"SE,SW,NW",0.409,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",5,"SE",0.384,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_5"
"benzene",5,"SW",0.381,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_5"
"benzene",5,"NW",0.375,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"benzene",5,"SE,SW",0.384,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"benzene",5,"SE,NW",0.386,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_5"
"benzene",5,"SW,NW",0.38,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_5"
"benzene",5,"SE,SW,NW",0.385,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_5"
"benzene",10,"SE",0.385,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"benzene",10,"SW",0.383,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_10"
"benzene",10,"NW",0.378,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"benzene",10,"SE,SW",0.386,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"benzene",10,"SE,NW",0.388,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"benzene",10,"SW,NW",0.382,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_10"
"benzene",10,"SE,SW,NW",0.387,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"benzene",20,"SE",0.375,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_20"
"benzene",20,"SW",0.374,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_20"
"benzene",20,"SE,SW",0.376,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"benzene",30,"SE",0.378,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_30"
