"Compound","Radius","Adj R-sq","Significant_Variables"
"ch4",10,0.404,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ch4",50,0.411,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",5,0.387,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"benzene",10,0.39,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"benzene",20,0.381,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"benzene",30,0.384,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"benzene",50,0.388,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"co",5,0.302,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightNW, wind_bin.nightW, n_flare_5"
"co",10,0.296,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightNW, wind_bin.nightW, n_flare_10"
"co2",50,0.297,"wsp_ms.night, n_flare_50"
"nox",5,0.325,"wsp_ms.night, wind_bin.nightS, n_flare_5"
"nox",10,0.332,"wsp_ms.night, wind_bin.nightS, n_flare_10"
"nox",20,0.32,"wsp_ms.night, wind_bin.nightS, n_flare_20"
"nox",50,0.328,"wsp_ms.night, wind_bin.nightS, n_flare_50"
"h2s",5,0.213,"wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW, n_flare_5"
"h2s",10,0.221,"wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW, n_flare_10"
"h2s",50,0.214,"wsp_ms.night, wind_bin.nightS, wind_bin.nightSE, wind_bin.nightSW, wind_bin.nightW, n_flare_50"
"ethane",5,0.426,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",10,0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",20,0.426,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",30,0.427,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",50,0.435,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethene",5,0.366,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightSE, n_flare_5"
"ethene",10,0.355,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_bin.nightSE, n_flare_10"
"Factor1",5,0.351,"wsp_ms.night, weighted_monthly_gas, n_flare_5"
"Factor4",5,0.238,"wsp_ms.night, weighted_monthly_oil, wind_bin.nightSE, n_flare_5"
"Factor5",10,0.087,"wsp_ms.night, wind_bin.nightSE, wind_bin.nightW, n_flare_10"
