ch4,co2,co,h2s,so2,nox,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene,time_utc
1.8,0.04633895590647853,40,0.8,0.8,0.1,0.052,0.023260942292373556,0.0173083389775397,0.01814193445807066,0.028,0.014240572345966342,0.013622269446653467,0.04337962989742823,0.013609802935376732,0.01053971023693999,0.010574230729412935,0.009595519806357812,0.01122593499400977,0.008834636895070818,0.00955554448603807,0.009534538075329713,0.009530714762387515,0.008989093867178846,0.010035894093314221,0.010261896755996605,2023-05-11 03:05:00
1.8,0.044789576242764965,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.00805934631317194,0.008043734071232246,0.008058696911358174,0.008102142285956876,0.016,2023-05-11 04:05:00
1.8,0.04609380490258052,40,0.8,0.8,0.1,0.02648953508080628,0.046,0.017748301078572185,0.036,0.028,0.014449476791008766,0.013759414109271732,0.086,0.013227960640447506,0.010441402711349058,0.01036188191236111,0.009301098933090545,0.011173391388694477,0.008486695247824323,0.009240681202562523,0.008915012860704778,0.008516501820444868,0.008121985639238419,0.008730005549027487,0.008450823970546143,2023-05-14 04:05:00
1.8,0.045936794630958344,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.011678129152386,0.016,0.018,0.008211233782232442,0.008062627399344172,0.016,0.008053850041750603,0.016,2023-05-14 03:05:00
1.8,0.045614903489980665,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.01803002031759979,0.016,0.018,0.016,0.016,0.016,0.016,0.016,2023-05-14 02:05:00
1.8,0.04928514112519207,40,0.8,0.8,0.1,0.052,0.02351507094058095,0.017107554259689774,0.018343496038646375,0.028,0.028,0.013102719386903645,0.04355536977352528,0.026,0.010062235039747352,0.010053135073082215,0.018,0.01135104734221508,0.008058386340312447,0.009164844929237508,0.008153305629561855,0.008244983065675308,0.008408501902403834,0.008515421318807254,0.016,2023-05-17 02:05:00
1.8,0.052355584205503285,40,0.8,0.8,0.05026794966607512,0.0264638497261808,0.024086546523193367,0.017853326161958043,0.018364746191549534,0.028,0.014529358715876886,0.014111569349910216,0.046388629519763476,0.013884185505284082,0.010823714142700907,0.010777048315953525,0.009784504610712029,0.011173391388694477,0.009217705491999472,0.011712205241127432,0.0102977103272639,0.012078131286470041,0.008940415793631397,0.011279301302184953,0.011203338877282568,2023-05-17 04:05:00
1.8,0.04673009836502166,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.01187798240270344,0.016,0.009106161732565385,0.00808239020617142,0.008194439284681743,0.0082858188860852,0.008165395341260933,0.008383153510533583,2023-05-17 01:05:00
1.8,0.050859757051383486,40,0.8,0.8,0.05045179588099464,0.052,0.023890199506238694,0.017156907732244993,0.01821499690159016,0.028,0.014083412415398778,0.01318357376960122,0.045283310147920586,0.013192341130068001,0.010149462334895302,0.010146146940572346,0.009203181071809261,0.01122593499400977,0.008397690872588775,0.009816449129321472,0.009047393812781503,0.009821902763579443,0.011225573536874409,0.011256722694736635,0.015140214665682076,2023-05-17 03:05:00
1.8,0.044498325565348586,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.009215357800271065,0.016,0.008123441268955539,0.008104056148662978,0.016,0.016,2023-05-28 21:05:00
