,start_date,end_date,ethane_ldl,ethane_half_ldl,ethene_ldl,ethene_half_ldl,propane_ldl,propane_half_ldl,propene_ldl,propene_half_ldl,1_3-butadiene_ldl,1_3-butadiene_half_ldl,i-butane_ldl,i-butane_half_ldl,n-butane_ldl,n-butane_half_ldl,acetylene_ldl,acetylene_half_ldl,cyclopentane_ldl,cyclopentane_half_ldl,i-pentane_ldl,i-pentane_half_ldl,n-pentane_ldl,n-pentane_half_ldl,n-hexane_ldl,n-hexane_half_ldl,isoprene_ldl,isoprene_half_ldl,n-heptane_ldl,n-heptane_half_ldl,benzene_ldl,benzene_half_ldl,n-octane_ldl,n-octane_half_ldl,toluene_ldl,toluene_half_ldl,ethyl-benzene_ldl,ethyl-benzene_half_ldl,m&p-xylene_ldl,m&p-xylene_half_ldl,o-xylene_ldl,o-xylene_half_ldl
0,2023-04-15 00:04:53,2023-04-30 23:04:53,0.026,0.013,0.022,0.011,0.018,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.051,0.026,0.01,0.005,0.01,0.005,0.01,0.005,0.009,0.004,0.012,0.006,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
1,2023-05-01 02:04:53,2023-05-31 23:04:53,0.026,0.013,0.022,0.011,0.018,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.054,0.027,0.01,0.005,0.01,0.005,0.01,0.005,0.009,0.004,0.011,0.006,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
2,2023-06-01 00:04:53,2023-06-30 23:04:53,0.026,0.013,0.024,0.012,0.017,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.039,0.02,0.01,0.005,0.01,0.005,0.01,0.005,0.008,0.004,0.011,0.006,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
3,2023-07-01 00:04:53,2023-07-31 23:04:53,0.026,0.013,0.022,0.011,0.018,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.047,0.023,0.01,0.005,0.01,0.005,0.01,0.005,0.009,0.004,0.011,0.006,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
4,2023-08-01 00:04:53,2023-08-31 23:04:53,0.026,0.013,0.025,0.012,0.018,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.037,0.018,0.01,0.005,0.01,0.005,0.01,0.005,0.009,0.004,0.011,0.006,0.008,0.004,0.009,0.004,0.007,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
5,2023-09-01 00:04:53,2023-09-30 23:04:53,0.026,0.013,0.024,0.012,0.018,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.039,0.019,0.01,0.005,0.011,0.005,0.01,0.005,0.009,0.004,0.011,0.006,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
6,2023-10-01 00:04:53,2023-10-31 23:04:53,0.026,0.013,0.023,0.012,0.017,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.041,0.021,0.01,0.005,0.01,0.005,0.01,0.005,0.009,0.004,0.011,0.005,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
7,2023-11-01 00:04:53,2023-11-30 23:04:53,0.025,0.013,0.024,0.012,0.017,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.039,0.02,0.01,0.005,0.011,0.005,0.01,0.005,0.009,0.004,0.011,0.006,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.009,0.004
8,2023-12-01 00:04:53,2023-12-31 23:04:53,0.025,0.013,0.023,0.012,0.017,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.041,0.021,0.01,0.005,0.01,0.005,0.01,0.005,0.009,0.004,0.011,0.005,0.008,0.004,0.009,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
9,2024-01-01 00:04:53,2024-01-31 23:04:53,0.026,0.013,0.023,0.011,0.018,0.009,0.018,0.009,0.014,0.007,0.014,0.007,0.013,0.007,0.045,0.022,0.01,0.005,0.01,0.005,0.01,0.005,0.009,0.004,0.011,0.005,0.008,0.004,0.009,0.004,0.007,0.004,0.008,0.004,0.008,0.004,0.008,0.004,0.008,0.004
