Station:5ZR Carlsbad -  , Date Time                 , Solar Rad , Temp_2m  , Temp_10  , Delta_T  , Wind Speed S , Wind Dir S , Sigma    , Wind Max , O3       , PM25     , NOXppb   , NOppb    , NO2ppb  
 ,                           , w/m2     , DegC     , DegC     , DegC     , m/s      , Deg      , Deg      , m/s      , ppm      , ug/m3L   , ppb      , ppb      , ppb     
 , 4/14/2023 12:00 AM        ,0,20.6,21.2,0.5,5.2,256.5,7.2,7.8,0.047,          ,0,0,0
 , 4/14/2023 1:00 AM         ,0,20.4,20.8,0.3,5.1,256.6,8.2,8,0.048,          ,0,0,0
 , 4/14/2023 2:00 AM         ,0,20.8,21.4,0.6,5.6,253.1,9.7,9.5,0.05,          ,0,0,0
 , 4/14/2023 3:00 AM         ,0,20.6,21,0.4,5.3,257.6,14.4,10.3,0.05,          ,0,0,0
 , 4/14/2023 4:00 AM         ,0,19.1,19.5,0.3,5.7,273.2,7.3,10.3,0.048,          ,0,0,0
 , 4/14/2023 5:00 AM         ,18.1,18.5,18.7,0.1,6.1,279.3,7.6,11.3,0.047,          ,0,0,0
 , 4/14/2023 6:00 AM         ,182.8,19.5,20.3,0.8,8.3,266.1,10.9,11.9,0.048,          ,0,0,0
 , 4/14/2023 7:00 AM         ,405.6,20.8,21.5,0.7,8.9,272.6,9.6,14.5,0.051,          ,1,0,0
 , 4/14/2023 8:00 AM         ,613.3,22.3,23.2,0.9,7.6,261.1,14.3,14.7,0.054,          ,0,0,0
 , 4/14/2023 9:00 AM         ,783.2,23.6,24.5,0.8,8.7,256.8,12.3,14.3,0.056,          ,1,0,0
 , 4/14/2023 10:00 AM        ,902.6,24.9,25.6,0.7,10.8,263.3,11.6,16.5,0.058,          ,0,0,0
 , 4/14/2023 11:00 AM        ,957.2,25.6,26.4,0.8,10.3,255.7,12.8,17.4,0.057,          ,0,0,0
 , 4/14/2023 12:00 PM        ,947,26.5,27.5,0.9,8.6,248.7,18.1,14.2,0.059,          ,0,0,0
 , 4/14/2023 1:00 PM         ,876.3,27,27.8,0.8,9.3,236.6,14.6,14.7,0.06,          ,0,0,0
 , 4/14/2023 2:00 PM         ,728.2,27.2,28,0.8,9,235.2,15,15.7,0.061,          ,0,0,0
 , 4/14/2023 3:00 PM         ,384.9,26.6,27.3,0.7,8.8,232.9,13.1,14.7,0.06,          ,0,0,0
 , 4/14/2023 4:00 PM         ,173.3,25.7,26.2,0.4,8.4,228.4,10.7,15.3,0.06,          ,0,0,0
 , 4/14/2023 5:00 PM         ,185.4,26,26.7,0.6,7.5,242,15.6,13.3,0.059,          ,0,0,0
 , 4/14/2023 6:00 PM         ,8.7,24,24.4,0.4,5.2,258.2,10.1,10.8,0.055,          ,0,0,0
 , 4/14/2023 7:00 PM         ,0,21.2,21.5,0.2,2.7,258.4,8.3,4.7,0.051,          ,0,0,0
 , 4/14/2023 8:00 PM         ,0,18.7,20.2,1.5,2.6,255.2,6.3,3.3,0.047,          ,0,0,0
 , 4/14/2023 9:00 PM         ,0,18.9,19.9,1,3.9,256,7.7,5.4,0.047,          ,0,0,0
 , 4/14/2023 10:00 PM        ,0,19.6,20.3,0.6,4.8,260.8,9.2,6.9,0.048,          ,0,0,0
 , 4/14/2023 11:00 PM        ,0,20.4,20.5,0,6.7,274.6,8.6,10.1,0.049,          ,0,0,0
 , 4/15/2023 12:00 AM        ,0,20.2,20.7,0.5,6.9,269.4,8.6,9.3,0.051,          ,0,0,0
 , 4/15/2023 1:00 AM         ,0,19.5,20,0.5,7.5,267.7,5.4,10.6,0.052,          ,0,0,0
 , 4/15/2023 2:00 AM         ,0,16.1,16.6,0.4,5.2,305.3,10.4,8.2,0.045,          ,0,0,0
 , 4/15/2023 3:00 AM         ,0.1,15.3,15.4,0,4.3,293.7,5.9,5.9,0.045,          ,0,0,0
 , 4/15/2023 4:00 AM         ,0.1,13.9,14.9,1,3,279.2,21.9,4.4,0.046,          ,0,0,0
 , 4/15/2023 5:00 AM         ,19.9,11,11.8,0.7,1.7,180.4,39,3.9,0.035,          ,3,0,3
 , 4/15/2023 6:00 AM         ,184.1,13.2,13.7,0.5,1.9,282,18.5,4.6,0.033,          ,6,1,5
 , 4/15/2023 7:00 AM         ,404.6,17.3,18,0.6,3.4,245.7,23.8,6.2,0.04,          ,2,0,2
 , 4/15/2023 8:00 AM         ,610.7,20.1,20.9,0.8,4.6,322.7,13.3,7.5,0.05,          ,1,0,1
 , 4/15/2023 9:00 AM         ,779.9,22,23.1,1,4.3,307.6,15.1,7.9,0.055,          ,1,0,1
 , 4/15/2023 10:00 AM        ,836.5,24,24.8,0.7,3.4,169,33.4,7.1,0.058,          ,1,0,1
 , 4/15/2023 11:00 AM        ,954,24.3,26.1,1.7,3,235.4,41.7,7.8,0.058,          ,1,0,1
 , 4/15/2023 12:00 PM        ,946.1,25.5,27,1.5,3.4,240.9,37.8,8.8,0.059,          ,1,0,1
 , 4/15/2023 1:00 PM         ,875.2,26.1,27.8,1.7,3.1,235.5,42.7,7.5,0.059,          ,1,0,1
 , 4/15/2023 2:00 PM         ,746.4,27,28.2,1.2,2.5,218.8,41.3,5.6,0.06,          ,1,0,0
 , 4/15/2023 3:00 PM         ,566.9,28,27.9,0,3.4,87.9,24.3,6.5,0.06,          ,1,0,0
 , 4/15/2023 4:00 PM         ,355.3,27.5,27.4,0,2.5,91.4,30.1,5.4,0.059,          ,1,0,0
 , 4/15/2023 5:00 PM         ,139.9,26,25.9,-0.1,2.6,93.5,29.2,6.1,0.058,          ,1,0,1
 , 4/15/2023 6:00 PM         ,9,22.1,22.8,0.7,1.3,104.7,32.7,2.5,0.051,          ,3,0,3
 , 4/15/2023 7:00 PM         ,0,19.8,20.6,0.7,1.8,248.5,43.6,6,0.047,          ,4,0,4
 , 4/15/2023 8:00 PM         ,0.1,18.2,20,1.7,2.6,313,10.6,4.4,0.051,          ,1,0,1
 , 4/15/2023 9:00 PM         ,0.1,16.4,18.6,2.1,3.5,309.6,13.9,4.4,0.047,          ,2,0,2
 , 4/15/2023 10:00 PM        ,0.1,15.4,17.1,1.7,3.8,267.9,22.1,7.8,0.042,          ,3,0,3
 , 4/15/2023 11:00 PM        ,0,12.8,13.1,0.3,3.4,167.2,16.4,5.7,0.034,          ,4,0,4
 , 4/16/2023 12:00 AM        ,0,11.5,11.7,0.1,2,45.3,16.6,4.6,0.038,          ,2,0,2
 , 4/16/2023 1:00 AM         ,0,10.2,10.4,0.2,1.4,80.4,18,3.4,          ,          ,2,0,2
 , 4/16/2023 2:00 AM         ,0,8.9,9.3,0.3,0.9,205.9,25.2,1.8,0.039,          ,          ,          ,         
 , 4/16/2023 3:00 AM         ,0,7.7,9.1,1.4,1.7,300.4,12.8,2.2,0.021,          ,          ,          ,         
 , 4/16/2023 4:00 AM         ,0,6.9,7.9,0.9,1.7,175.2,17.7,2.5,0.038,          ,2,0,2
 , 4/16/2023 5:00 AM         ,19.3,6.6,7.3,0.7,1.6,302.9,13,2.4,0.033,          ,4,0,4
 , 4/16/2023 6:00 AM         ,180.8,9.5,9.9,0.4,1.1,67.2,24.3,3.3,0.036,          ,6,0,5
 , 4/16/2023 7:00 AM         ,399.2,12,12.5,0.4,3.2,108.9,14.9,5.6,0.044,          ,6,1,5
 , 4/16/2023 8:00 AM         ,603.9,13.9,13.9,0,3.7,110.9,20.2,6.8,0.049,          ,4,1,3
 , 4/16/2023 9:00 AM         ,767.4,15.8,15.4,-0.3,3.8,105.4,19.4,6.7,0.05,          ,6,1,4
 , 4/16/2023 10:00 AM        ,882.6,17.4,17.1,-0.2,4.4,125.4,23,8.4,0.057,          ,3,0,3
 , 4/16/2023 11:00 AM        ,936,18.9,18.4,-0.5,4.8,133.5,23.2,9,0.059,          ,3,0,2
 , 4/16/2023 12:00 PM        ,904.8,20.1,19.7,-0.3,5.1,136.9,20.6,9.3,0.063,          ,3,0,2
 , 4/16/2023 1:00 PM         ,845.3,21.6,21,-0.5,5,132.6,17.7,8.5,0.068,          ,3,0,2
 , 4/16/2023 2:00 PM         ,708.9,22.1,21.7,-0.3,5.5,142.7,20.2,9.8,0.069,          ,2,0,2
 , 4/16/2023 3:00 PM         ,562.4,22.5,22.2,-0.2,5.9,138.1,15.1,9.5,0.073,          ,3,0,2
 , 4/16/2023 4:00 PM         ,354.6,22.4,22.2,-0.2,5.9,142.3,15.4,9.8,0.072,          ,3,0,2
 , 4/16/2023 5:00 PM         ,141.4,21.3,21.3,0,5.4,142.3,14.6,9,0.07,          ,3,0,3
 , 4/16/2023 6:00 PM         ,9.5,19.3,19.4,0,3.9,135.8,9.1,7.1,0.06,          ,5,0,5
 , 4/16/2023 7:00 PM         ,0,17.5,17.4,0,3,144.6,9.7,4.4,0.051,          ,7,0,7
 , 4/16/2023 8:00 PM         ,0.1,14,14.5,0.5,3,185.6,11.6,3.5,0.038,          ,7,0,7
 , 4/16/2023 9:00 PM         ,0.1,13.1,13.3,0.2,3.5,192.3,3.8,4.3,0.032,          ,10,0,10
 , 4/16/2023 10:00 PM        ,0,12.6,13.4,0.8,3.4,191.1,3.6,4.1,0.034,          ,8,0,8
 , 4/16/2023 11:00 PM        ,0,10.9,12.3,1.4,2.8,172.6,5.5,3.5,0.03,          ,6,0,7
 , 4/17/2023 12:00 AM        ,0,12.3,12.6,0.3,3.1,162.4,7.1,4.6,0.028,          ,8,0,8
