Station:5ZR Carlsbad -  , Date Time                 , Solar Rad , Temp_2m  , Temp_10  , Delta_T  , Wind Speed S , Wind Dir S , Sigma    , Wind Max , O3       , PM2.5_Archive , NOXppb   , NOppb    , NO2ppb   
 ,                           , w/m2     , DegC     , DegC     , DegC     , m/s      , Deg      , Deg      , m/s      , ppm      , ug/m3L   , ppb      , ppb      , ppb      
 , 9/28/2023 12:00 AM        ,0,21.7,22.4,0.7,3,187.1,10.9,4.3,0.015,          ,13,0,13
 , 9/28/2023 1:00 AM         ,0,20.7,21.2,0.4,3.2,193.9,6.2,4.4,0.016,          ,10,0,10
 , 9/28/2023 2:00 AM         ,0,19.8,20.2,0.4,3.2,190.6,9.1,4.5,0.01,          ,16,0,16
 , 9/28/2023 3:00 AM         ,0,19.1,19.7,0.6,2.8,211.2,22.9,4.1,0.013,          ,13,0,13
 , 9/28/2023 4:00 AM         ,0,18,19.2,1.1,2.2,173.4,14.1,2.9,0.014,          ,11,0,11
 , 9/28/2023 5:00 AM         ,2.5,17.6,18.9,1.2,1.9,188.2,5.8,2.5,0.01,          ,16,0,16
 , 9/28/2023 6:00 AM         ,105.2,17.8,19.7,1.9,1.2,128,52,2.2,0.01,          ,20,5,15
 , 9/28/2023 7:00 AM         ,313.7,21.1,22.4,1.3,1.8,119.4,20.4,4.3,0.017,          ,29,10,18
 , 9/28/2023 8:00 AM         ,511,25.8,24.9,-0.8,2.5,135.6,18.8,5.5,0.03,          ,16,4,12
 , 9/28/2023 9:00 AM         ,669.4,29.6,27.8,-1.8,2.5,120.4,18.7,4.1,0.04,          ,12,2,10
 , 9/28/2023 10:00 AM        ,775.7,33.1,30.6,-2.4,2.7,110.9,20.7,5.1,0.053,          ,9,1,8
 , 9/28/2023 11:00 AM        ,822.7,36.2,33.2,-3,3,105.9,23.6,6.3,0.067,          ,7,0,7
 , 9/28/2023 12:00 PM        ,806.6,39.2,35.6,-3.5,3.1,92.3,19.5,5.4,0.071,          ,5,0,5
 , 9/28/2023 1:00 PM         ,648.4,41.2,36.7,-4.4,2.7,97,27.1,5.7,0.067,          ,3,0,3
 , 9/28/2023 2:00 PM         ,631.8,41.8,37.8,-4,2.2,107.4,46.9,4.8,0.061,          ,2,0,2
 , 9/28/2023 3:00 PM         ,404.9,42,37.6,-4.3,2.4,114.7,26.1,6.3,0.059,          ,1,0,1
 , 9/28/2023 4:00 PM         ,201.7,39,36.1,-2.8,3.6,127.5,21.4,6.2,0.06,          ,1,0,2
 , 9/28/2023 5:00 PM         ,29.9,34,33.7,-0.2,2.8,145.7,9.6,5,0.05,          ,2,0,2
 , 9/28/2023 6:00 PM         ,0.1,29.4,30.4,1,2.6,182.9,19.6,4,0.034,          ,6,0,7
 , 9/28/2023 7:00 PM         ,0,28,28.7,0.6,3.4,195.5,7.4,4.8,0.035,          ,4,0,5
 , 9/28/2023 8:00 PM         ,0,26.9,27.6,0.6,3,179.2,14.1,5.9,0.031,          ,7,0,8
 , 9/28/2023 9:00 PM         ,0,26.9,27.3,0.3,3.3,174.3,10.1,5.9,0.027,          ,7,0,8
 , 9/28/2023 10:00 PM        ,0,24.8,25.7,0.8,1.9,184,15.6,3.5,0.026,          ,4,0,6
 , 9/28/2023 11:00 PM        ,0,24,25,1,2.8,159.8,8.8,4.4,0.024,          ,7,0,8
