Station:5ZR Carlsbad -  , Date Time                 , Solar Rad , Temp_2m  , Temp_10  , Delta_T  , Wind Speed S , Wind Dir S , Sigma    , Wind Max , O3       , PM2.5_Archive , NOXppb   , NOppb    , NO2ppb   , Benzene  , Toluene  , Ethylbenzene , Mp-Xylene , o-Xylene
 ,                           , w/m2     , DegC     , DegC     , DegC     , m/s      , Deg      , Deg      , m/s      , ppm      , ug/m3L   , ppb      , ppb      , ppb      , ppb      , ppb      , ppb      , ppb      , ppb     
 , 5/20/2024 12:00 AM        ,0,25.3,26.9,1.5,5.1,246.9,3.5,6,0.046,          ,0,0,0,          ,          ,          ,          ,         
 , 5/20/2024 1:00 AM         ,0,23.1,24.3,1.1,5,226.8,18.7,6.1,          ,          ,0,0,0,          ,          ,          ,          ,         
 , 5/20/2024 2:00 AM         ,0,22.7,24,1.3,4.7,236.2,6.7,5.8,0.041,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 5/20/2024 3:00 AM         ,0,20.3,21.3,0.9,1.8,180.9,61.2,5.7,0.018,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 5/20/2024 4:00 AM         ,1.3,19.4,22.2,2.7,2.8,297.6,12.2,4.5,0.029,          ,5,0,5,          ,          ,          ,          ,         
 , 5/20/2024 5:00 AM         ,88.5,18.3,19.5,1.2,0.7,179.2,42.2,4.4,0.018,          ,13,2,11,          ,          ,          ,          ,         
 , 5/20/2024 6:00 AM         ,287.1,21,20.6,-0.3,0.3,110.3,24.3,2,0.025,          ,9,2,7,          ,          ,          ,          ,         
 , 5/20/2024 7:00 AM         ,497.6,24.7,23.6,-1.1,1.5,65.3,18.5,3.6,0.034,          ,6,1,4,          ,          ,          ,          ,         
 , 5/20/2024 8:00 AM         ,689.3,28.6,27.1,-1.4,1.2,106,34.1,3.4,0.043,          ,3,0,2,          ,          ,          ,          ,         
 , 5/20/2024 9:00 AM         ,840.9,32.6,30.2,-2.4,1.9,68.7,24.9,4.6,0.053,          ,3,0,3,0.119,0.15,0.019,0.059,0.009
 , 5/20/2024 10:00 AM        ,945.7,35.3,33,-2.3,2.6,93.5,33.6,5.4,0.059,          ,2,0,2,0.05,0.079,0.009,0.019,0
 , 5/20/2024 11:00 AM        ,1004.1,36.7,34.8,-1.8,3.2,165.6,66.8,8.8,0.061,          ,1,0,1,0.029,0.029,0,0.009,0
 , 5/20/2024 12:00 PM        ,906.8,37.9,36.4,-1.5,7.2,225.2,21.4,13.2,0.054,          ,0,0,0,0.009,0,0,0,0
 , 5/20/2024 1:00 PM         ,761.7,38.1,36.7,-1.4,6.6,235.1,18.8,11.5,0.053,          ,0,0,0,0.009,0,0,0,0
 , 5/20/2024 2:00 PM         ,637.8,38.3,37.1,-1.1,6.2,239.2,16.3,10.9,0.053,          ,0,0,0,0.009,0,0,0,0
 , 5/20/2024 3:00 PM         ,570.4,38.1,37,-1.1,7.5,244.8,12.4,12.4,0.052,          ,0,0,0,0.009,0,0,0,0
 , 5/20/2024 4:00 PM         ,317.7,37.2,36.5,-0.6,6.7,227.5,15.2,10.4,0.052,          ,0,0,0,0.009,0,0,0,0
 , 5/20/2024 5:00 PM         ,194,36.2,35.9,-0.3,6.8,227.1,11,11.1,0.057,          ,0,0,0,0.019,0,0,0,0
 , 5/20/2024 6:00 PM         ,63.6,34.7,34.8,0,5.7,216.1,7.7,9.8,0.057,          ,0,0,0,0.009,0.009,0,0.019,0
 , 5/20/2024 7:00 PM         ,0.2,30.5,31.6,1,3.1,199.3,9.7,6.5,0.042,          ,2,0,2,0.009,0,0,0,0
 , 5/20/2024 8:00 PM         ,0,26.9,28.6,1.7,2.6,201.9,9.7,3.3,0.031,          ,3,0,3,0.019,0.019,0,0.009,0
 , 5/20/2024 9:00 PM         ,0,27.6,29.1,1.4,2.9,237.6,12.3,4.5,0.036,          ,2,0,2,0.019,0.009,0.009,0.019,0
 , 5/20/2024 10:00 PM        ,0,28.3,29.3,0.9,3.7,250.7,8.5,6.9,0.039,          ,0,0,0,0.009,0,0,0,0
 , 5/20/2024 11:00 PM        ,0,29.2,29.9,0.6,4.2,257.2,7.1,6.6,0.041,          ,0,0,0,0.009,0,0,0,0
 , 5/21/2024 12:00 AM        ,0,28.6,29.1,0.4,4.7,260.6,7.5,7.3,0.04,          ,0,0,0,0.009,0,0,0,0
 , 5/21/2024 1:00 AM         ,0,28.1,28.6,0.5,5.2,275.9,9.6,11.2,0.042,          ,0,0,0,0.009,0,0,0,0
 , 5/21/2024 2:00 AM         ,0,27.5,27.9,0.4,7.1,285.2,6.9,11.7,0.041,          ,0,0,0,0.009,0,0,0,0
 , 5/21/2024 3:00 AM         ,0,25.5,26.2,0.7,3.3,246.6,27.3,6.7,0.037,          ,1,0,1,0.039,0.019,0,0.009,0
 , 5/21/2024 4:00 AM         ,0.7,22.7,23.5,0.8,2.4,298.3,19.7,5.5,          ,          ,          ,          ,          ,0.129,0.079,0.009,0.029,0
 , 5/21/2024 5:00 AM         ,29.9,22.2,22.9,0.7,2.5,321,14.9,4.1,          ,          ,          ,          ,          ,0.209,0.17,0.009,0.019,0
