h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1688169600,NaN,NaN,2
1688169660,NaN,NaN,2
1688169720,NaN,2.000e-01,2
1688169780,NaN,2.000e-01,2
1688169840,NaN,2.000e-01,2
1688169900,NaN,2.000e-01,2
1688169960,NaN,2.000e-01,2
1688170020,NaN,NaN,2
1688170080,NaN,NaN,1
1688170140,NaN,NaN,1
1688170200,NaN,NaN,1
1688170260,NaN,NaN,1
1688170320,2.000e-01,NaN,1
1688170380,4.290e-01,NaN,1
1688170440,4.390e-01,NaN,1
1688170500,4.450e-01,NaN,1
1688170560,4.760e-01,NaN,1
1688170620,NaN,NaN,1
1688170680,NaN,NaN,2
1688170740,NaN,NaN,2
1688170800,NaN,NaN,2
1688170860,NaN,NaN,2
1688170920,NaN,2.000e-01,2
1688170980,NaN,2.000e-01,2
1688171040,NaN,2.000e-01,2
1688171100,NaN,2.000e-01,2
1688171160,NaN,2.000e-01,2
1688171220,NaN,2.000e-01,2
1688171280,NaN,NaN,2
1688171340,NaN,NaN,1
1688171400,NaN,NaN,1
1688171460,NaN,NaN,1
1688171520,4.570e-01,NaN,1
1688171580,4.130e-01,NaN,1
1688171640,2.000e-01,NaN,1
1688171700,2.000e-01,NaN,1
1688171760,2.000e-01,NaN,1
1688171820,2.000e-01,NaN,1
1688171880,NaN,NaN,1
1688171940,NaN,NaN,2
1688172000,NaN,NaN,2
1688172060,NaN,NaN,2
1688172120,NaN,NaN,2
1688172180,NaN,2.000e-01,2
1688172240,NaN,2.000e-01,2
1688172300,NaN,2.000e-01,2
1688172360,NaN,2.000e-01,2
1688172420,NaN,2.000e-01,2
1688172480,NaN,NaN,2
1688172540,NaN,NaN,1
1688172600,NaN,NaN,1
1688172660,NaN,NaN,1
1688172720,2.000e-01,NaN,1
1688172780,2.000e-01,NaN,1
1688172840,4.440e-01,NaN,1
1688172900,4.520e-01,NaN,1
1688172960,5.140e-01,NaN,1
1688173020,5.310e-01,NaN,1
1688173080,NaN,NaN,1
1688173140,NaN,NaN,2
1688173200,NaN,NaN,2
1688173260,NaN,NaN,2
1688173320,NaN,2.000e-01,2
1688173380,NaN,2.000e-01,2
1688173440,NaN,2.000e-01,2
1688173500,NaN,4.160e-01,2
1688173560,NaN,2.000e-01,2
1688173620,NaN,2.000e-01,2
1688173680,NaN,NaN,2
1688173740,NaN,NaN,1
1688173800,NaN,NaN,1
1688173860,NaN,NaN,1
1688173920,NaN,NaN,1
1688173980,5.500e-01,NaN,1
1688174040,5.320e-01,NaN,1
1688174100,5.100e-01,NaN,1
1688174160,5.390e-01,NaN,1
1688174220,5.780e-01,NaN,1
1688174280,NaN,NaN,1
1688174340,NaN,NaN,2
1688174400,NaN,NaN,2
1688174460,NaN,NaN,2
1688174520,NaN,4.010e-01,2
1688174580,NaN,2.000e-01,2
1688174640,NaN,2.000e-01,2
1688174700,NaN,2.000e-01,2
1688174760,NaN,2.000e-01,2
1688174820,NaN,2.000e-01,2
1688174880,NaN,NaN,2
1688174940,NaN,NaN,1
1688175000,NaN,NaN,1
1688175060,NaN,NaN,1
1688175120,5.840e-01,NaN,1
1688175180,5.710e-01,NaN,1
1688175240,5.160e-01,NaN,1
1688175300,4.970e-01,NaN,1
1688175360,5.170e-01,NaN,1
1688175420,5.140e-01,NaN,1
1688175480,NaN,NaN,1
1688175540,NaN,NaN,2
