rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1696118400,1.068e+01,6.501e+00,2.886e-01,1.757e-01
1696119000,8.675e+00,4.501e+00,2.345e-01,1.216e-01
1696119600,2.075e+00,2.000e+00,5.607e-02,2.705e-02
1696120200,2.008e+01,1.000e+00,5.427e-01,2.705e-02
1696120800,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1696121400,2.075e+00,4.501e+00,5.607e-02,1.216e-01
1696122000,7.196e+00,5.501e+00,1.945e-01,1.487e-01
1696122600,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1696123200,8.675e+00,6.001e+00,2.345e-01,1.622e-01
1696123800,1.316e+01,1.000e+00,3.557e-01,2.705e-02
1696124400,1.082e+01,5.001e+00,2.924e-01,1.352e-01
1696125000,1.314e+01,6.501e+00,3.551e-01,1.757e-01
1696125600,1.088e+01,5.501e+00,2.941e-01,1.487e-01
1696126200,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1696126800,1.082e+01,4.501e+00,2.924e-01,1.216e-01
1696127400,8.543e+00,8.001e+00,2.309e-01,2.162e-01
1696128000,1.313e+01,3.501e+00,3.549e-01,9.461e-02
1696128600,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1696129200,1.299e+01,2.500e+00,3.510e-01,6.758e-02
1696129800,8.543e+00,9.001e+00,2.309e-01,2.433e-01
1696130400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1696131000,1.525e+01,9.486e+00,4.122e-01,2.564e-01
1696131600,4.209e+00,5.001e+00,1.137e-01,1.352e-01
1696132200,1.088e+01,1.000e+00,2.941e-01,2.705e-02
1696132800,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1696133400,1.000e+00,8.501e+00,2.705e-02,2.298e-01
1696134000,1.082e+01,1.000e+00,2.925e-01,2.705e-02
1696134600,2.007e+01,3.000e+00,5.424e-01,8.109e-02
1696135200,1.524e+01,8.001e+00,4.118e-01,2.162e-01
1696135800,1.310e+01,6.501e+00,3.540e-01,1.757e-01
1696136400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1696137000,1.763e+01,6.001e+00,4.766e-01,1.622e-01
1696137600,1.302e+01,6.001e+00,3.519e-01,1.622e-01
1696138200,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1696138800,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1696139400,4.275e+00,5.501e+00,1.155e-01,1.487e-01
1696140000,1.774e+01,2.500e+00,4.793e-01,6.758e-02
1696140600,2.075e+00,1.000e+00,5.607e-02,2.705e-02
1696141200,1.313e+01,1.050e+01,3.549e-01,2.838e-01
1696141800,1.304e+01,5.001e+00,3.526e-01,1.352e-01
1696142400,2.229e+01,1.000e+00,6.023e-01,2.705e-02
1696143000,1.307e+01,7.001e+00,3.533e-01,1.892e-01
1696143600,3.115e+01,5.501e+00,8.420e-01,1.487e-01
1696144200,1.685e+01,1.000e+00,4.555e-01,2.705e-02
1696144800,3.180e+01,1.000e+00,8.595e-01,2.705e-02
1696145400,1.505e+01,6.501e+00,4.067e-01,1.757e-01
1696146000,3.173e+01,6.001e+00,8.575e-01,1.622e-01
1696146600,1.271e+01,1.000e+00,3.435e-01,2.705e-02
1696147200,1.954e+01,4.992e+00,5.281e-01,1.349e-01
1696147800,2.417e+01,8.501e+00,6.531e-01,2.298e-01
1696148400,2.753e+01,6.501e+00,7.440e-01,1.757e-01
1696149000,1.946e+01,2.000e+00,5.261e-01,2.705e-02
1696149600,2.893e+01,8.501e+00,7.820e-01,2.298e-01
1696150200,5.790e+01,1.000e+00,1.565e+00,2.705e-02
1696150800,2.592e+01,4.501e+00,7.005e-01,1.216e-01
1696151400,2.146e+01,3.000e+00,5.801e-01,8.109e-02
1696152000,3.086e+01,3.000e+00,8.342e-01,8.109e-02
1696152600,2.850e+01,8.501e+00,7.702e-01,2.298e-01
1696153200,2.606e+01,2.000e+00,7.043e-01,2.705e-02
1696153800,2.845e+01,4.001e+00,7.688e-01,1.081e-01
1696154400,8.609e+00,7.501e+00,2.327e-01,2.027e-01
1696155000,8.411e+00,7.001e+00,2.273e-01,1.892e-01
1696155600,1.516e+01,8.501e+00,4.099e-01,2.298e-01
1696156200,2.427e+01,1.000e+00,6.558e-01,2.705e-02
1696156800,3.137e+01,3.501e+00,8.479e-01,9.461e-02
1696157400,1.730e+01,8.501e+00,4.675e-01,2.298e-01
1696158000,8.675e+00,8.001e+00,2.345e-01,2.162e-01
1696158600,1.514e+01,6.501e+00,4.091e-01,1.757e-01
1696159200,1.288e+01,1.150e+01,3.480e-01,3.109e-01
1696159800,3.333e+01,1.000e+00,9.007e-01,2.705e-02
1696160400,4.143e+00,6.501e+00,1.120e-01,1.757e-01
1696161000,2.682e+01,6.001e+00,7.248e-01,1.622e-01
1696161600,1.286e+01,1.000e+00,3.476e-01,2.705e-02
1696162200,3.905e+01,1.000e+00,1.055e+00,2.705e-02
1696162800,3.119e+01,7.501e+00,8.431e-01,2.027e-01
1696163400,1.477e+01,8.501e+00,3.991e-01,2.298e-01
1696164000,5.071e+01,1.000e+00,1.370e+00,2.705e-02
1696164600,2.140e+01,2.000e+00,5.784e-01,2.705e-02
1696165200,2.165e+01,8.001e+00,5.852e-01,2.162e-01
1696165800,2.399e+01,5.001e+00,6.484e-01,1.352e-01
1696166400,4.704e+01,3.501e+00,1.271e+00,9.461e-02
1696167000,2.912e+01,1.450e+01,7.871e-01,3.919e-01
1696167600,2.842e+01,2.000e+00,7.682e-01,2.705e-02
1696168200,1.492e+01,1.000e+00,4.032e-01,2.705e-02
1696168800,2.165e+01,1.200e+01,5.850e-01,3.244e-01
1696169400,1.899e+01,1.000e+00,5.133e-01,2.705e-02
1696170000,1.274e+01,5.501e+00,3.444e-01,1.487e-01
1696170600,2.881e+01,4.001e+00,7.787e-01,1.081e-01
1696171200,1.708e+01,1.600e+01,4.617e-01,4.325e-01
1696171800,1.296e+01,3.501e+00,3.502e-01,9.461e-02
1696172400,1.953e+01,1.000e+00,5.278e-01,2.705e-02
1696173000,1.705e+01,9.501e+00,4.609e-01,2.568e-01
1696173600,2.903e+01,4.001e+00,7.845e-01,1.081e-01
1696174200,1.714e+01,8.501e+00,4.632e-01,2.298e-01
1696174800,1.509e+01,1.000e+00,4.080e-01,2.705e-02
1696175400,1.299e+01,8.001e+00,3.511e-01,2.162e-01
1696176000,1.065e+01,1.000e+00,2.879e-01,2.705e-02
1696176600,8.609e+00,7.501e+00,2.327e-01,2.027e-01
1696177200,1.973e+01,1.000e+00,5.332e-01,2.705e-02
1696177800,2.446e+01,1.050e+01,6.610e-01,2.838e-01
1696178400,8.660e+00,1.000e+00,2.341e-01,2.705e-02
1696179000,2.702e+01,5.001e+00,7.302e-01,1.352e-01
1696179600,1.078e+01,5.501e+00,2.913e-01,1.487e-01
1696180200,2.216e+01,1.000e+00,5.990e-01,2.705e-02
1696180800,1.078e+01,3.000e+00,2.914e-01,8.109e-02
1696181400,1.079e+01,4.001e+00,2.916e-01,1.081e-01
1696182000,1.086e+01,8.501e+00,2.935e-01,2.298e-01
1696182600,2.075e+00,1.000e+00,5.607e-02,2.705e-02
1696183200,6.475e+00,5.501e+00,1.750e-01,1.487e-01
1696183800,1.524e+01,1.000e+00,4.119e-01,2.705e-02
1696184400,8.609e+00,9.001e+00,2.327e-01,2.433e-01
1696185000,6.409e+00,8.501e+00,1.732e-01,2.298e-01
1696185600,1.298e+01,1.000e+00,3.508e-01,2.705e-02
1696186200,1.310e+01,8.501e+00,3.541e-01,2.298e-01
1696186800,1.074e+01,1.000e+00,2.903e-01,2.705e-02
1696187400,1.087e+01,6.001e+00,2.939e-01,1.622e-01
1696188000,1.303e+01,7.001e+00,3.523e-01,1.892e-01
1696188600,1.752e+01,1.000e+00,4.736e-01,2.705e-02
1696189200,1.301e+01,6.501e+00,3.517e-01,1.757e-01
1696189800,1.534e+01,5.501e+00,4.145e-01,1.487e-01
1696190400,1.754e+01,1.050e+01,4.741e-01,2.838e-01
1696191000,1.434e+01,3.501e+00,3.876e-01,9.461e-02
1696191600,4.209e+00,1.000e+00,1.138e-01,2.705e-02
1696192200,1.994e+01,1.050e+01,5.388e-01,2.838e-01
1696192800,2.461e+01,1.000e+00,6.651e-01,2.705e-02
1696193400,1.304e+01,4.501e+00,3.523e-01,1.216e-01
1696194000,4.268e+00,7.489e+00,1.153e-01,2.024e-01
1696194600,6.475e+00,7.001e+00,1.750e-01,1.892e-01
1696195200,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1696195800,4.209e+00,3.000e+00,1.137e-01,8.109e-02
1696196400,1.745e+01,1.000e+00,4.715e-01,2.705e-02
1696197000,1.087e+01,5.501e+00,2.938e-01,1.487e-01
1696197600,1.310e+01,2.500e+00,3.541e-01,6.758e-02
1696198200,1.309e+01,2.000e+00,3.539e-01,2.705e-02
1696198800,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1696199400,1.088e+01,4.001e+00,2.940e-01,1.081e-01
1696200000,6.409e+00,5.501e+00,1.732e-01,1.487e-01
1696200600,1.075e+01,6.001e+00,2.904e-01,1.622e-01
1696201200,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1696201800,6.475e+00,5.501e+00,1.750e-01,1.487e-01
1696202400,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1696203000,6.475e+00,4.501e+00,1.750e-01,1.216e-01
1696203600,1.764e+01,1.000e+00,4.766e-01,2.705e-02
1696204200,1.311e+01,8.001e+00,3.544e-01,2.162e-01
1696204800,1.074e+01,1.000e+00,2.904e-01,2.705e-02
1696205400,1.304e+01,1.000e+00,3.525e-01,2.705e-02
1696206000,8.675e+00,7.001e+00,2.345e-01,1.892e-01
1696206600,1.088e+01,1.000e+00,2.940e-01,2.705e-02
1696207200,1.311e+01,1.150e+01,3.543e-01,3.109e-01
1696207800,1.530e+01,1.000e+00,4.135e-01,2.705e-02
1696208400,1.733e+01,3.501e+00,4.683e-01,9.461e-02
1696209000,1.526e+01,4.001e+00,4.124e-01,1.081e-01
1696209600,8.660e+00,1.000e+00,2.341e-01,2.705e-02
